CRI_YM,TAG,BD_HD,DAY,TIME,SEX,AGE,NUM,TIME2
202005,interior,holiday,B.TUE,F.22-02,F,E.60,38,12
201905,baby,business_day,C.WED,C.10-14,F,C.4O,652,15
201905,grocery,business_day,E.FRI,B.06-10,M,A.2O,476,26
201905,fashion,holiday,C.WED,D.14-18,F,B.3O,2210,16
202005,fashion,holiday,E.FRI,C.10-14,M,E.60,141,27
201905,interior,business_day,B.TUE,C.10-14,F,A.2O,752,9
202105,car,holiday,C.WED,D.14-18,F,E.60,19,16
201905,sports,holiday,G.SUN,F.22-02,M,A.2O,214,42
202005,fashion,business_day,D.THU,C.10-14,F,A.2O,6984,21
202105,books,business_day,C.WED,A.02-06,F,B.3O,92,13
201905,pet,holiday,F.SAT,F.22-02,F,E.60,17,36
202105,pet,business_day,B.TUE,D.14-18,F,B.3O,789,10
202105,fashion,business_day,C.WED,A.02-06,F,E.60,79,13
201905,fashion,business_day,E.FRI,B.06-10,M,C.4O,2127,26
201905,daily_office,holiday,C.WED,E.18-22,M,E.60,93,17
202005,golf,holiday,E.FRI,E.18-22,M,D.5O,26,29
201905,car,business_day,A.MON,D.14-18,M,C.4O,653,4
202005,grocery,business_day,E.FRI,E.18-22,M,B.3O,2778,29
202105,cosmetics,business_day,B.TUE,E.18-22,M,B.3O,1224,11
201905,books,business_day,E.FRI,B.06-10,M,D.5O,309,26
201905,hobby,holiday,A.MON,A.02-06,M,B.3O,21,1
202005,home_shopping,business_day,E.FRI,D.14-18,M,D.5O,1749,28
202005,golf,business_day,E.FRI,A.02-06,F,A.2O,3,25
202005,interior,business_day,A.MON,B.06-10,F,D.5O,403,2
201905,grocery,business_day,D.THU,A.02-06,F,B.3O,771,19
202005,car,holiday,G.SUN,E.18-22,M,D.5O,312,41
202005,interior,business_day,A.MON,C.10-14,F,C.4O,2573,3
202105,sports,holiday,C.WED,A.02-06,F,C.4O,57,13
202105,baby,holiday,G.SUN,E.18-22,M,B.3O,1158,41
202105,home_appliance,business_day,C.WED,D.14-18,F,A.2O,371,16
201905,grocery,holiday,F.SAT,F.22-02,M,E.60,112,36
202005,books,holiday,B.TUE,E.18-22,F,B.3O,281,11
202105,home_shopping,holiday,F.SAT,D.14-18,F,B.3O,4545,34
202005,golf,holiday,E.FRI,A.02-06,M,C.4O,7,25
202105,cosmetics,holiday,C.WED,C.10-14,F,B.3O,1869,15
202005,daily_office,holiday,E.FRI,B.06-10,F,E.60,164,26
202005,home_appliance,business_day,E.FRI,C.10-14,M,E.60,307,27
201905,daily_office,holiday,C.WED,F.22-02,F,A.2O,407,18
201905,sports,holiday,C.WED,C.10-14,M,D.5O,40,15
202005,fashion,business_day,C.WED,D.14-18,F,E.60,982,16
201905,home_shopping,business_day,B.TUE,F.22-02,F,B.3O,3606,12
202005,books,business_day,C.WED,A.02-06,F,C.4O,242,13
202005,interior,holiday,F.SAT,B.06-10,F,A.2O,301,32
202105,car,holiday,F.SAT,C.10-14,F,A.2O,84,33
201905,daily_office,business_day,D.THU,D.14-18,F,B.3O,6922,22
202005,home_shopping,holiday,G.SUN,D.14-18,M,A.2O,403,40
201905,car,holiday,A.MON,E.18-22,F,A.2O,18,5
202005,fashion,business_day,D.THU,A.02-06,F,A.2O,1225,19
201905,car,business_day,C.WED,F.22-02,M,A.2O,146,18
202005,car,business_day,E.FRI,A.02-06,F,D.5O,9,25
202005,hobby,holiday,B.TUE,F.22-02,M,E.60,8,12
202105,home_shopping,business_day,E.FRI,C.10-14,M,C.4O,1816,27
202005,daily_office,business_day,D.THU,A.02-06,M,E.60,102,19
201905,cosmetics,holiday,C.WED,F.22-02,F,C.4O,440,18
202005,golf,business_day,B.TUE,C.10-14,M,A.2O,13,9
201905,books,business_day,A.MON,C.10-14,M,C.4O,1676,3
201905,daily_office,business_day,A.MON,D.14-18,F,D.5O,2289,4
202005,books,business_day,C.WED,E.18-22,F,C.4O,2527,17
201905,daily_office,business_day,B.TUE,E.18-22,M,B.3O,2980,11
202005,pet,holiday,F.SAT,B.06-10,F,D.5O,124,32
202105,interior,business_day,E.FRI,C.10-14,F,B.3O,2453,27
201905,cosmetics,business_day,A.MON,A.02-06,F,A.2O,237,1
202105,fashion,business_day,C.WED,E.18-22,M,C.4O,2678,17
201905,home_shopping,holiday,C.WED,F.22-02,F,E.60,434,18
201905,home_appliance,holiday,G.SUN,B.06-10,M,E.60,52,38
202105,grocery,business_day,A.MON,F.22-02,F,B.3O,11131,6
201905,baby,business_day,E.FRI,B.06-10,F,E.60,25,26
202005,sports,holiday,F.SAT,C.10-14,F,B.3O,871,33
202105,hobby,business_day,D.THU,E.18-22,M,D.5O,351,23
201905,home_appliance,business_day,C.WED,D.14-18,M,A.2O,571,16
202005,daily_office,business_day,A.MON,D.14-18,F,B.3O,9278,4
202105,car,business_day,C.WED,F.22-02,F,C.4O,138,18
202005,interior,business_day,A.MON,E.18-22,F,C.4O,2104,5
202105,books,business_day,B.TUE,E.18-22,F,E.60,118,11
202005,fashion,holiday,G.SUN,D.14-18,M,D.5O,2408,40
202105,cosmetics,holiday,C.WED,E.18-22,F,C.4O,1705,17
202105,cosmetics,business_day,A.MON,E.18-22,F,D.5O,1864,5
202005,fashion,business_day,C.WED,F.22-02,F,D.5O,3100,18
202105,baby,business_day,B.TUE,A.02-06,M,D.5O,22,7
202105,daily_office,business_day,E.FRI,C.10-14,M,E.60,1627,27
202105,home_appliance,holiday,C.WED,E.18-22,M,E.60,110,17
201905,pet,holiday,F.SAT,F.22-02,M,B.3O,100,36
202005,pet,holiday,E.FRI,F.22-02,F,E.60,16,30
201905,car,business_day,B.TUE,C.10-14,F,E.60,22,9
202105,books,business_day,A.MON,B.06-10,M,D.5O,457,2
202105,hobby,business_day,A.MON,A.02-06,M,E.60,23,1
202105,home_shopping,business_day,D.THU,A.02-06,F,A.2O,84,19
201905,hobby,business_day,E.FRI,F.22-02,F,B.3O,229,30
202105,interior,holiday,F.SAT,C.10-14,M,D.5O,926,33
201905,grocery,business_day,C.WED,A.02-06,M,E.60,21,13
202005,baby,holiday,B.TUE,E.18-22,F,C.4O,282,11
202005,home_shopping,business_day,C.WED,F.22-02,F,C.4O,11908,18
202105,books,business_day,C.WED,B.06-10,F,E.60,37,14
201905,golf,business_day,E.FRI,F.22-02,F,D.5O,36,30
201905,daily_office,holiday,A.MON,C.10-14,M,E.60,129,3
202005,pet,holiday,E.FRI,C.10-14,M,C.4O,64,27
201905,hobby,holiday,C.WED,E.18-22,M,E.60,14,17
202105,home_appliance,business_day,C.WED,D.14-18,F,B.3O,1024,16
202005,sports,business_day,E.FRI,F.22-02,M,A.2O,301,30
202005,sports,business_day,E.FRI,C.10-14,M,D.5O,291,27
202005,home_shopping,holiday,F.SAT,B.06-10,M,A.2O,161,32
201905,daily_office,holiday,C.WED,D.14-18,F,C.4O,1086,16
202005,daily_office,holiday,E.FRI,D.14-18,M,A.2O,224,28
202005,books,business_day,B.TUE,A.02-06,M,A.2O,31,7
202105,home_appliance,business_day,A.MON,E.18-22,M,B.3O,3834,5
202005,interior,business_day,D.THU,E.18-22,M,E.60,248,23
202105,fashion,business_day,D.THU,F.22-02,M,B.3O,4744,24
202005,interior,holiday,F.SAT,E.18-22,M,B.3O,1371,35
201905,sports,holiday,G.SUN,E.18-22,M,A.2O,179,41
202005,car,business_day,E.FRI,B.06-10,F,B.3O,117,26
202005,pet,holiday,B.TUE,C.10-14,F,B.3O,170,9
201905,grocery,business_day,D.THU,B.06-10,F,C.4O,3116,20
202005,interior,holiday,E.FRI,E.18-22,F,A.2O,272,29
202005,grocery,holiday,F.SAT,B.06-10,M,C.4O,1502,32
202105,pet,business_day,A.MON,B.06-10,M,C.4O,270,2
202105,daily_office,holiday,G.SUN,F.22-02,F,E.60,822,42
202105,daily_office,holiday,F.SAT,A.02-06,F,E.60,143,31
201905,baby,holiday,G.SUN,E.18-22,F,E.60,32,41
202005,car,business_day,D.THU,B.06-10,M,E.60,52,20
202105,sports,holiday,G.SUN,E.18-22,M,E.60,103,41
201905,home_shopping,business_day,C.WED,F.22-02,M,D.5O,1360,18
202105,interior,holiday,C.WED,A.02-06,M,B.3O,76,13
201905,pet,business_day,A.MON,E.18-22,M,A.2O,62,5
202005,baby,business_day,B.TUE,A.02-06,M,C.4O,58,7
201905,home_appliance,business_day,D.THU,E.18-22,F,D.5O,366,23
202105,cosmetics,holiday,C.WED,E.18-22,M,A.2O,266,17
202105,car,business_day,B.TUE,F.22-02,M,C.4O,565,12
202005,sports,business_day,B.TUE,D.14-18,M,E.60,45,10
202105,books,holiday,F.SAT,A.02-06,F,E.60,14,31
201905,hobby,business_day,D.THU,A.02-06,M,C.4O,71,19
202105,daily_office,business_day,B.TUE,E.18-22,F,D.5O,3927,11
202005,books,business_day,A.MON,A.02-06,F,E.60,14,1
202105,baby,holiday,C.WED,C.10-14,M,E.60,29,15
202105,grocery,business_day,C.WED,D.14-18,F,E.60,877,16
202105,car,business_day,C.WED,F.22-02,F,B.3O,143,18
202105,home_shopping,business_day,B.TUE,B.06-10,F,E.60,4831,8
201905,baby,business_day,E.FRI,F.22-02,F,A.2O,465,30
201905,books,holiday,G.SUN,A.02-06,F,C.4O,122,37
202105,baby,business_day,A.MON,B.06-10,M,C.4O,430,2
202105,home_shopping,holiday,F.SAT,A.02-06,F,E.60,1409,31
201905,grocery,business_day,C.WED,B.06-10,M,A.2O,450,14
202005,golf,holiday,E.FRI,F.22-02,M,C.4O,49,30
201905,books,business_day,D.THU,A.02-06,F,B.3O,211,19
201905,home_appliance,holiday,F.SAT,D.14-18,M,A.2O,463,34
201905,pet,holiday,G.SUN,C.10-14,M,C.4O,138,39
202105,golf,business_day,E.FRI,C.10-14,M,B.3O,135,27
202105,baby,business_day,A.MON,F.22-02,F,C.4O,1220,6
201905,interior,holiday,A.MON,D.14-18,F,A.2O,180,4
201905,pet,holiday,G.SUN,A.02-06,M,A.2O,10,37
202105,grocery,business_day,D.THU,A.02-06,M,B.3O,659,19
202105,home_appliance,holiday,C.WED,C.10-14,M,B.3O,1026,15
202105,home_shopping,holiday,F.SAT,D.14-18,F,C.4O,10977,34
202005,books,holiday,E.FRI,A.02-06,F,B.3O,56,25
202105,daily_office,business_day,A.MON,A.02-06,M,E.60,191,1
202005,interior,holiday,E.FRI,B.06-10,M,C.4O,150,26
202005,daily_office,holiday,E.FRI,E.18-22,F,A.2O,352,29
202005,cosmetics,business_day,E.FRI,B.06-10,M,B.3O,779,26
202005,daily_office,holiday,F.SAT,F.22-02,F,B.3O,5731,36
202105,pet,holiday,F.SAT,D.14-18,M,E.60,46,34
202105,books,business_day,B.TUE,B.06-10,F,C.4O,1339,8
201905,fashion,business_day,B.TUE,A.02-06,F,C.4O,880,7
202105,home_appliance,holiday,C.WED,F.22-02,F,A.2O,294,18
202105,fashion,holiday,F.SAT,E.18-22,M,A.2O,2595,35
202105,golf,holiday,C.WED,D.14-18,M,D.5O,81,16
202005,fashion,business_day,D.THU,A.02-06,F,E.60,122,19
202105,interior,business_day,C.WED,A.02-06,M,E.60,27,13
201905,cosmetics,business_day,E.FRI,B.06-10,M,A.2O,248,26
202005,daily_office,business_day,B.TUE,E.18-22,F,E.60,746,11
201905,baby,business_day,D.THU,F.22-02,F,C.4O,674,24
202005,interior,holiday,B.TUE,E.18-22,M,A.2O,136,11
202005,books,business_day,D.THU,C.10-14,M,A.2O,195,21
202005,pet,holiday,B.TUE,B.06-10,M,C.4O,18,8
202005,grocery,business_day,A.MON,A.02-06,M,C.4O,577,1
201905,grocery,business_day,B.TUE,C.10-14,M,E.60,529,9
202105,pet,holiday,F.SAT,A.02-06,F,E.60,11,31
202105,pet,business_day,D.THU,C.10-14,M,C.4O,386,21
201905,cosmetics,business_day,A.MON,A.02-06,F,B.3O,367,1
202105,car,business_day,D.THU,B.06-10,M,D.5O,235,20
202005,baby,holiday,E.FRI,E.18-22,F,E.60,11,29
202005,home_appliance,business_day,E.FRI,C.10-14,F,E.60,260,27
202105,pet,holiday,G.SUN,A.02-06,M,B.3O,47,37
202005,car,holiday,G.SUN,A.02-06,F,B.3O,42,37
202005,books,holiday,F.SAT,A.02-06,M,B.3O,99,31
202105,home_appliance,business_day,A.MON,A.02-06,M,C.4O,450,1
201905,cosmetics,holiday,F.SAT,D.14-18,F,A.2O,914,34
202005,cosmetics,business_day,B.TUE,E.18-22,M,D.5O,364,11
202005,pet,holiday,G.SUN,F.22-02,M,A.2O,121,42
202005,home_appliance,holiday,E.FRI,A.02-06,M,B.3O,89,25
201905,sports,holiday,G.SUN,E.18-22,M,D.5O,161,41
201905,interior,holiday,A.MON,F.22-02,M,D.5O,86,6
202105,baby,holiday,F.SAT,A.02-06,M,C.4O,82,31
201905,car,holiday,F.SAT,B.06-10,F,D.5O,13,32
202105,golf,business_day,A.MON,E.18-22,F,C.4O,225,5
201905,grocery,business_day,A.MON,E.18-22,M,B.3O,2239,5
202005,books,holiday,G.SUN,B.06-10,F,C.4O,671,38
202005,baby,holiday,E.FRI,D.14-18,F,E.60,7,28
202005,pet,holiday,E.FRI,B.06-10,M,B.3O,39,26
202105,interior,business_day,A.MON,A.02-06,F,B.3O,551,1
201905,fashion,holiday,A.MON,F.22-02,F,C.4O,1997,6
201905,fashion,holiday,G.SUN,F.22-02,M,E.60,183,42
202005,home_appliance,holiday,B.TUE,B.06-10,F,D.5O,43,8
202105,hobby,holiday,C.WED,E.18-22,F,E.60,28,17
202005,grocery,holiday,E.FRI,E.18-22,F,D.5O,640,29
202005,fashion,holiday,E.FRI,C.10-14,F,A.2O,1226,27
202005,books,holiday,B.TUE,D.14-18,F,C.4O,538,10
202005,interior,business_day,A.MON,B.06-10,M,C.4O,932,2
201905,sports,holiday,A.MON,D.14-18,M,D.5O,35,4
202105,home_appliance,business_day,A.MON,E.18-22,F,E.60,280,5
202005,books,business_day,E.FRI,F.22-02,M,B.3O,340,30
202105,interior,business_day,D.THU,D.14-18,F,A.2O,1112,22
202105,fashion,business_day,C.WED,F.22-02,M,A.2O,1406,18
202005,pet,business_day,B.TUE,B.06-10,M,A.2O,41,8
201905,hobby,business_day,A.MON,E.18-22,F,C.4O,286,5
201905,interior,holiday,F.SAT,E.18-22,F,E.60,86,35
202105,grocery,business_day,E.FRI,A.02-06,F,D.5O,502,25
202105,hobby,business_day,E.FRI,A.02-06,F,E.60,11,25
201905,pet,business_day,B.TUE,B.06-10,F,D.5O,85,8
201905,daily_office,business_day,D.THU,C.10-14,F,C.4O,6360,21
201905,interior,business_day,B.TUE,D.14-18,F,B.3O,1690,10
202005,home_appliance,holiday,E.FRI,D.14-18,M,E.60,51,28
202005,hobby,holiday,F.SAT,E.18-22,F,D.5O,163,35
202105,daily_office,business_day,C.WED,E.18-22,F,D.5O,2037,17
202105,pet,holiday,C.WED,A.02-06,M,A.2O,22,13
202005,cosmetics,holiday,F.SAT,C.10-14,M,C.4O,1046,33
202105,fashion,business_day,E.FRI,E.18-22,M,A.2O,2071,29
202005,cosmetics,holiday,G.SUN,B.06-10,M,D.5O,235,38
202005,home_appliance,business_day,E.FRI,F.22-02,F,B.3O,1052,30
202105,cosmetics,business_day,C.WED,D.14-18,F,C.4O,1838,16
202005,interior,business_day,D.THU,C.10-14,M,E.60,343,21
201905,pet,business_day,A.MON,F.22-02,F,A.2O,253,6
202105,car,business_day,E.FRI,A.02-06,F,D.5O,10,25
201905,home_appliance,business_day,A.MON,B.06-10,M,C.4O,1394,2
201905,baby,business_day,D.THU,C.10-14,F,E.60,71,21
201905,interior,business_day,B.TUE,C.10-14,M,B.3O,1536,9
202005,daily_office,business_day,A.MON,F.22-02,M,D.5O,1482,6
202105,cosmetics,holiday,G.SUN,A.02-06,F,A.2O,462,37
202005,car,business_day,E.FRI,D.14-18,F,A.2O,125,28
201905,baby,business_day,C.WED,A.02-06,F,C.4O,73,13
201905,books,business_day,D.THU,B.06-10,M,B.3O,438,20
202105,sports,holiday,F.SAT,B.06-10,M,E.60,44,32
202105,cosmetics,business_day,E.FRI,C.10-14,M,E.60,242,27
201905,cosmetics,holiday,G.SUN,A.02-06,M,A.2O,68,37
201905,books,business_day,C.WED,E.18-22,F,E.60,63,17
202105,fashion,holiday,G.SUN,B.06-10,F,D.5O,2416,38
202105,sports,holiday,F.SAT,B.06-10,M,C.4O,401,32
201905,daily_office,holiday,G.SUN,D.14-18,F,D.5O,1385,40
202005,home_appliance,business_day,B.TUE,E.18-22,M,E.60,164,11
202005,pet,business_day,C.WED,B.06-10,M,C.4O,154,14
202005,hobby,business_day,C.WED,E.18-22,F,B.3O,558,17
201905,pet,business_day,A.MON,C.10-14,F,C.4O,367,3
202105,hobby,holiday,F.SAT,F.22-02,M,B.3O,496,36
202005,home_shopping,holiday,G.SUN,F.22-02,F,E.60,2919,42
202105,books,business_day,A.MON,C.10-14,F,B.3O,3755,3
202005,golf,holiday,B.TUE,F.22-02,F,A.2O,3,12
201905,books,business_day,E.FRI,C.10-14,F,E.60,103,27
201905,daily_office,business_day,E.FRI,B.06-10,F,A.2O,918,26
